NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Acalanes Ridge CDP, California",961,16,0,0,0,87,0,06,00135
"Acampo CDP, California",255,16,0,0,74,0,0,06,00156
"Acton CDP, California",7286,87,0,0,72,131,0,06,00212
"Adelanto city, California",37960,21,17,0,271,355,90,06,00296
"Adin CDP, California",97,0,0,0,0,0,0,06,00310
"Agoura Hills city, California",20088,302,15,44,291,815,39,06,00394
"Agua Dulce CDP, California",3161,84,0,22,58,145,0,06,00450
"Aguanga CDP, California",603,46,0,0,0,0,0,06,00464
"Ahwahnee CDP, California",1896,0,0,0,0,35,9,06,00478
"Airport CDP, California",1387,9,0,0,0,83,31,06,00535
"Alameda city, California",77565,953,1183,973,1168,2593,2025,06,00562
"Alamo CDP, California",14355,55,35,17,6,418,49,06,00618
"Albany city, California",20027,105,201,211,300,590,571,06,00674
"Albion CDP, California",222,0,0,0,8,0,0,06,00716
"Alderpoint CDP, California",91,0,0,0,0,0,0,06,00786
"Alhambra city, California",82295,254,1593,2065,546,756,2684,06,00884
"Alhambra Valley CDP, California",917,0,0,0,10,20,0,06,00898
"Aliso Viejo city, California",51896,996,260,203,968,2409,550,06,00947
"Alleghany CDP, California",63,0,0,0,0,0,0,06,00982
"Allendale CDP, California",1752,48,0,0,26,73,0,06,00996
"Allensworth CDP, California",459,0,0,0,0,0,0,06,01010
"Almanor CDP, California",0,0,0,0,0,0,0,06,01094
"Alondra Park CDP, California",8314,72,21,11,12,171,97,06,01150
"Alpaugh CDP, California",880,5,0,0,0,4,0,06,01164
"Alpine CDP, California",15911,488,0,0,406,494,0,06,01192
"Alpine Village CDP, California",220,3,0,0,6,4,0,06,01228
"Alta CDP, California",652,13,0,0,19,16,0,06,01276
"Altadena CDP, California",42719,446,67,74,695,1420,150,06,01290
"Alta Sierra CDP (Kern County), California",26,0,0,0,0,0,0,06,01358
"Alta Sierra CDP (Nevada County), California",7425,102,0,0,312,193,0,06,01360
"Alto CDP, California",659,46,0,0,66,0,9,06,01416
"Alturas city, California",2683,71,0,0,78,38,0,06,01444
"Alum Rock CDP, California",11831,27,70,125,11,139,250,06,01458
"Amador City city, California",215,9,0,0,16,46,0,06,01514
"Amador Pines CDP, California",1058,0,0,0,0,0,0,06,01518
"American Canyon city, California",21669,106,218,167,106,278,365,06,01640
"Amesti CDP, California",3048,23,0,7,22,38,4,06,01651
"Anaheim city, California",347111,2704,2681,3077,2958,4715,4426,06,02000
"Anchor Bay CDP, California",369,0,0,0,0,0,0,06,02028
"Anderson city, California",11267,346,50,59,415,835,41,06,02042
"Angels city, California",3714,0,0,0,16,153,0,06,02112
"Angwin CDP, California",2731,13,19,44,31,46,0,06,02168
"Antelope CDP, California",47629,844,234,201,635,2124,240,06,02210
